bym|tagihan|transfer|pemb|HR_credit|GL_main|GL_96010|GL_total|beda
BYM/04/26/00152|78318390.25|78318390.00|.25|78318390.25|78318390.00|.00|78318390.00|.25
BYM/04/26/00153|285063248.86|285063248.86|.00|285063248.86|285063249.00|.00|285063249.00|-.14
BYM/04/26/00164|30438204.20|30438204.00|.20|30438204.20|30438204.00|.00|30438204.00|.20
BYM/04/26/00189|77619677.45|77619677.00|.45|77619677.45|77619677.00|.00|77619677.00|.45
BYM/04/26/00190|57374188.20|57374188.00|.20|57374188.20|57374188.00|.00|57374188.00|.20
BYM/04/26/00194|106116971.39|106116971.39|.00|106116971.39|106116972.00|.00|106116972.00|-.61
BYM/04/26/00229|51718419.55|51718419.55|.00|51718419.55|51718420.00|.00|51718420.00|-.45
BYM/04/26/00247|94151023.05|94151023.05|.00|94151023.05|94151024.00|.00|94151024.00|-.95
BYM/04/26/00248|20779704.40|20779704.00|.40|20779704.40|20779704.00|.00|20779704.00|.40
BYM/04/26/00279|20311756.85|20311756.85|.00|20311756.85|20311757.00|.00|20311757.00|-.15
BYM/04/26/00280|36888841.50|36888841.00|.50|36888841.50|36888841.00|.00|36888841.00|.50
BYM/04/26/00286|86042645.15|86042645.15|.00|86042645.15|86042646.00|.00|86042646.00|-.85
BYM/04/26/00287|15603170.45|15603170.45|.00|15603170.45|15603171.00|.00|15603171.00|-.55
BYM/04/26/00294|12265412.76|12265412.76|.00|12265412.76|12265413.00|.00|12265413.00|-.24
BYM/04/26/00295|9467505.60|9467505.60|.00|9467505.60|9467506.00|.00|9467506.00|-.40
BYM/04/26/00296|10038323.75|10038323.75|.00|10038323.75|10038324.00|.00|10038324.00|-.25
BYM/04/26/00310|28661398.50|28661398.00|.50|28661398.50|28661398.00|.00|28661398.00|.50
BYM/04/26/00343|84939280.30|84939280.00|.30|84939280.30|84939280.00|.00|84939280.00|.30
BYM/04/26/00344|18359491.50|18359491.00|.50|18359491.50|18359491.00|.00|18359491.00|.50
BYM/04/26/00345|57408520.05|57408520.05|.00|57408520.05|57408521.00|.00|57408521.00|-.95
BYM/04/26/00346|89526907.75|89526907.75|.00|89526907.75|89526908.00|.00|89526908.00|-.25
BYM/06/26/00027|137066879.21|137066879.21|.00|137066879.21|274133758.42|-.79|274133757.63|-137066878.42
BYM/11/25/00045|77134917.35|77134917.00|.35|77134917.35|77134917.00|.00|77134917.00|.35
BYM/11/25/00067|24663650.20|24663650.00|.20|24663650.20|24663650.00|.00|24663650.00|.20
BYM/11/25/00127|25228669.20|25228669.00|.20|25228669.20|25228669.00|.00|25228669.00|.20
BYM/11/25/00209|29012836.30|29012836.00|.30|29012836.30|29012836.00|.00|29012836.00|.30
BYM/11/25/00212|14527527.35|14527527.00|.35|14527527.35|14527527.00|.00|14527527.00|.35
BYM/11/25/00232|17207257.48|17207257.00|.48|17207257.48|17207257.00|.00|17207257.00|.48
BYM/12/25/00013|26658588.18|26658588.00|.18|26658588.18|26658588.00|.00|26658588.00|.18
BYM/12/25/00022|19824258.30|19824258.00|.30|19824258.30|19824258.00|.00|19824258.00|.30
BYM/12/25/00042|20890454.20|20890454.00|.20|20890454.20|20890454.00|.00|20890454.00|.20
BYM/12/25/00088|64632993.32|64632993.00|.32|64632993.32|64632993.00|.00|64632993.00|.32
BYM/12/25/00089|80437415.10|80437415.00|.10|80437415.10|80437415.00|.00|80437415.00|.10
BYM/12/25/00115|42852039.12|42852039.00|.12|42852039.12|42852039.00|.00|42852039.00|.12
BYM/12/25/00161|33441500.40|33441500.00|.40|33441500.40|33441500.00|.00|33441500.00|.40
BYM/12/25/00298|45365224.05|45365224.00|.05|45365224.05|45365224.00|.00|45365224.00|.05
