bym|tagihan|transfer|pemb|HR_credit|GL_main|GL_96010|GL_total|beda
BYM/04/26/00068|54919658.64|54919658.64|.00|54919658.64|54919659.00|.00|54919659.00|-.36
BYM/04/26/00084|91879082.68|91879082.68|.00|91879082.68|91879083.00|.00|91879083.00|-.32
BYM/04/26/00099|23941098.16|23941098.00|.16|23941098.16|23941098.00|.00|23941098.00|.16
BYM/04/26/00106|124820964.87|124820964.87|.00|124820964.87|124820965.00|.00|124820965.00|-.13
BYM/04/26/00115|109977177.80|109977177.80|.00|109977177.80|109977178.00|.00|109977178.00|-.20
BYM/04/26/00128|71987901.75|71987901.75|.00|71987901.75|71987902.00|.00|71987902.00|-.25
BYM/04/26/00138|72355242.40|72355242.00|.40|72355242.40|72355242.00|.00|72355242.00|.40
BYM/04/26/00139|79960596.10|79960596.00|.10|79960596.10|79960596.00|.00|79960596.00|.10
BYM/04/26/00156|57220107.70|57220107.70|.00|57220107.70|57220108.00|.00|57220108.00|-.30
BYM/04/26/00174|244078676.49|244078676.00|.49|244078676.49|244078676.00|.00|244078676.00|.49
BYM/04/26/00175|41773930.80|41773930.80|.00|41773930.80|41773931.00|.00|41773931.00|-.20
BYM/04/26/00177|151735903.90|151735903.90|.00|151735903.90|151735904.00|.00|151735904.00|-.10
BYM/04/26/00178|64130582.60|64130582.60|.00|64130582.60|64130583.00|.00|64130583.00|-.40
BYM/04/26/00191|46155395.65|46155395.65|.00|46155395.65|46155396.00|.00|46155396.00|-.35
BYM/04/26/00192|164493007.35|164493007.00|.35|164493007.35|164493007.00|.00|164493007.00|.35
BYM/04/26/00193|24982106.10|24982106.00|.10|24982106.10|24982106.00|.00|24982106.00|.10
BYM/04/26/00208|68054659.40|68054659.00|.40|68054659.40|68054659.00|.00|68054659.00|.40
BYM/04/26/00225|233227727.95|233227727.95|.00|233227727.95|233227728.00|.00|233227728.00|-.05
BYM/04/26/00227|37900872.80|37900872.80|.00|37900872.80|37900873.00|.00|37900873.00|-.20
BYM/04/26/00244|90626953.18|90626953.00|.18|90626953.18|90626953.00|.00|90626953.00|.18
BYM/04/26/00245|76142062.85|76142062.85|.00|76142062.85|76142063.00|.00|76142063.00|-.15
BYM/04/26/00262|78823222.80|78823222.80|.00|78823222.80|78823223.00|.00|78823223.00|-.20
BYM/04/26/00263|268517826.85|268517826.85|.00|268517826.85|268517827.00|.00|268517827.00|-.15
BYM/04/26/00264|67008698.05|67008698.05|.00|67008698.05|67008699.00|.00|67008699.00|-.95
BYM/04/26/00265|38739414.70|38739414.70|.00|38739414.70|38739415.00|.00|38739415.00|-.30
BYM/04/26/00274|175842198.70|175842198.70|.00|175842198.70|175842199.00|.00|175842199.00|-.30
BYM/04/26/00275|24680849.20|24680849.00|.20|24680849.20|24680849.00|.00|24680849.00|.20
BYM/04/26/00276|213923830.05|213923830.00|.05|213923830.05|213923830.00|.00|213923830.00|.05
BYM/04/26/00284|57717864.40|57717864.00|.40|57717864.40|57717864.00|.00|57717864.00|.40
BYM/04/26/00302|87491107.20|87491107.00|.20|87491107.20|87491107.00|.00|87491107.00|.20
BYM/04/26/00303|44576404.95|44576404.95|.00|44576404.95|44576405.00|.00|44576405.00|-.05
BYM/04/26/00304|73569225.40|73569225.00|.40|73569225.40|73569225.00|.00|73569225.00|.40
BYM/04/26/00315|63132474.65|63132474.65|.00|63132474.65|63132475.00|.00|63132475.00|-.35
BYM/04/26/00341|34212640.35|34212640.35|.00|34212640.35|34212641.00|.00|34212641.00|-.65
BYM/04/26/00347|63895421.80|63895421.80|.00|63895421.80|63895422.00|.00|63895422.00|-.20
BYM/04/26/00354|242740879.09|242740879.00|.09|242740879.09|242740879.00|.00|242740879.00|.09
BYM/04/26/00355|74383607.20|74383607.00|.20|74383607.20|74383607.00|.00|74383607.00|.20
BYM/04/26/00357|69185839.10|69185839.00|.10|69185839.10|69185839.00|.00|69185839.00|.10
BYM/10/25/00017|241167769.16|241167769.00|.16|241167769.16|241167769.00|.00|241167769.00|.16
BYM/10/25/00038|108388774.20|108388774.00|.20|108388774.20|108388774.00|.00|108388774.00|.20
BYM/11/25/00005|31862284.30|31862284.00|.30|31862284.30|31862284.00|.00|31862284.00|.30
BYM/11/25/00012|250813269.35|250813269.00|.35|250813269.35|250813269.00|.00|250813269.00|.35
BYM/11/25/00093|245372154.10|245372154.00|.10|245372154.10|245372154.00|.00|245372154.00|.10
BYM/11/25/00125|175171697.40|175171697.00|.40|175171697.40|175171697.00|.00|175171697.00|.40
BYM/11/25/00129|252135027.31|252135027.00|.31|252135027.31|252135027.00|.00|252135027.00|.31
BYM/11/25/00201|30829844.50|30829844.00|.50|30829844.50|30829844.00|.00|30829844.00|.50
BYM/11/25/00202|173096294.38|173096294.00|.38|173096294.38|173096294.00|.00|173096294.00|.38
BYM/12/25/00040|144735004.40|144735004.00|.40|144735004.40|144735004.00|.00|144735004.00|.40
BYM/12/25/00047|134469651.40|134469651.00|.40|134469651.40|134469651.00|.00|134469651.00|.40
BYM/12/25/00075|107493441.30|107493441.00|.30|107493441.30|107493441.00|.00|107493441.00|.30
BYM/12/25/00105|91997435.33|91997435.00|.33|91997435.33|91997435.00|.00|91997435.00|.33
BYM/12/25/00111|174409304.44|174409304.00|.44|174409304.44|174409304.00|.00|174409304.00|.44
BYM/12/25/00164|56788735.22|56788735.00|.22|56788735.22|56788735.00|.00|56788735.00|.22
BYM/12/25/00182|87066216.44|87066216.00|.44|87066216.44|87066216.00|.00|87066216.00|.44
BYM/12/25/00235|52721634.28|52721634.00|.28|52721634.28|52721634.00|.00|52721634.00|.28
