bym|tagihan|transfer|pemb|HR_credit|GL_main|GL_96010|GL_total|beda
BYM/03/26/00278|34199404.96|34199404.96|.00|34199404.96|34199405.00|.00|34199405.00|-.04
BYM/03/26/00279|203800517.03|203800517.00|.03|203800517.03|203800517.00|.00|203800517.00|.03
BYM/03/26/00280|60027551.56|60027551.56|.00|60027551.56|60027552.00|.00|60027552.00|-.44
BYM/03/26/00291|134339330.02|134339330.00|.02|134339330.02|134339330.00|.00|134339330.00|.02
BYM/03/26/00294|198884909.67|198884909.00|.67|198884909.67|198884909.00|.00|198884909.00|.67
BYM/03/26/00295|150201326.31|150201326.31|.00|150201326.31|150201327.00|.00|150201327.00|-.69
BYM/03/26/00301|158548536.22|158548536.22|.00|158548536.22|158548537.00|.00|158548537.00|-.78
BYM/04/26/00013|116250878.84|116250878.84|.00|116250878.84|116250879.00|.00|116250879.00|-.16
BYM/04/26/00032|233866157.28|233866157.00|.28|233866157.28|233866157.00|.00|233866157.00|.28
BYM/04/26/00033|106530685.87|106530685.87|.00|106530685.87|106530686.00|.00|106530686.00|-.13
BYM/04/26/00085|120073594.85|120073594.00|.85|120073594.85|120073594.00|.00|120073594.00|.85
BYM/04/26/00104|20312023.90|20312023.90|.00|20312023.90|20312024.00|.00|20312024.00|-.10
BYM/04/26/00105|83202521.85|83202521.85|.00|83202521.85|83202522.00|.00|83202522.00|-.15
BYM/04/26/00109|59960950.63|59960950.63|.00|59960950.63|59960951.00|.00|59960951.00|-.37
BYM/04/26/00110|54525681.37|54525681.00|.37|54525681.37|54525681.00|.00|54525681.00|.37
BYM/04/26/00126|135910231.93|135910231.93|.00|135910231.93|135910232.00|.00|135910232.00|-.07
BYM/04/26/00135|55299613.95|55299613.95|.00|55299613.95|55299614.00|.00|55299614.00|-.05
BYM/04/26/00136|158270478.73|158270478.73|.00|158270478.73|158270479.00|.00|158270479.00|-.27
BYM/04/26/00137|54117647.22|54117647.00|.22|54117647.22|54117647.00|.00|54117647.00|.22
BYM/04/26/00147|189682509.63|189682509.63|.00|189682509.63|189682510.00|.00|189682510.00|-.37
BYM/04/26/00148|93116571.80|93116571.80|.00|93116571.80|93116572.00|.00|93116572.00|-.20
BYM/04/26/00149|49738733.80|49738733.80|.00|49738733.80|49738734.00|.00|49738734.00|-.20
BYM/04/26/00169|69162696.40|69162696.00|.40|69162696.40|69162696.00|.00|69162696.00|.40
BYM/04/26/00170|58853755.45|58853755.45|.00|58853755.45|58853756.00|.00|58853756.00|-.55
BYM/04/26/00171|68612041.75|68612041.75|.00|68612041.75|68612042.00|.00|68612042.00|-.25
BYM/04/26/00172|304160896.76|304160896.76|.00|304160896.76|304160897.00|.00|304160897.00|-.24
BYM/04/26/00173|131165135.50|131165135.00|.50|131165135.50|131165135.00|.00|131165135.00|.50
BYM/04/26/00195|93708624.10|93708624.00|.10|93708624.10|93708624.00|.00|93708624.00|.10
BYM/04/26/00196|16859182.55|16859182.55|.00|16859182.55|16859183.00|.00|16859183.00|-.45
BYM/04/26/00197|157868966.85|157868966.85|.00|157868966.85|157868967.00|.00|157868967.00|-.15
BYM/04/26/00201|45945185.65|45945185.65|.00|45945185.65|45945186.00|.00|45945186.00|-.35
BYM/04/26/00202|28186571.35|28186571.35|.00|28186571.35|28186572.00|.00|28186572.00|-.65
BYM/04/26/00203|68736685.50|68736685.00|.50|68736685.50|68736685.00|.00|68736685.00|.50
BYM/04/26/00204|124712928.82|124712928.82|.00|124712928.82|124712929.00|.00|124712929.00|-.18
BYM/04/26/00214|144134166.40|144134166.00|.40|144134166.40|144134166.00|.00|144134166.00|.40
BYM/04/26/00216|60891979.05|60891979.05|.00|60891979.05|60891980.00|.00|60891980.00|-.95
BYM/04/26/00228|75453563.85|75453563.85|.00|75453563.85|75453564.00|.00|75453564.00|-.15
BYM/04/26/00238|51520515.90|51520515.90|.00|51520515.90|51520516.00|.00|51520516.00|-.10
BYM/04/26/00241|57082625.95|57082625.95|.00|57082625.95|57082626.00|.00|57082626.00|-.05
BYM/04/26/00258|58416129.10|58416129.00|.10|58416129.10|58416129.00|.00|58416129.00|.10
BYM/04/26/00259|63015379.35|63015379.35|.00|63015379.35|63015380.00|.00|63015380.00|-.65
BYM/04/26/00260|50283101.75|50283101.75|.00|50283101.75|50283102.00|.00|50283102.00|-.25
BYM/04/26/00272|108782621.50|108782621.00|.50|108782621.50|108782621.00|.00|108782621.00|.50
BYM/04/26/00273|101503820.95|101503820.95|.00|101503820.95|101503821.00|.00|101503821.00|-.05
BYM/04/26/00300|147966598.50|147966598.00|.50|147966598.50|147966598.00|.00|147966598.00|.50
BYM/04/26/00309|160766765.60|160766765.60|.00|160766765.60|160766766.00|.00|160766766.00|-.40
BYM/04/26/00324|41442298.80|41442298.80|.00|41442298.80|41442299.00|.00|41442299.00|-.20
