unit,nomor,supplier,tgl_bayar,konfir,transfer,cn,memo,outstanding,status
PRB,BYP/06/26/00636,19B005,2026-06-11,70000000.00,.00,.00,.00,70000000.00,BELUM BAYAR
PRB,BYP/06/26/00728,19B005,2026-06-12,71350000.00,.00,.00,.00,71350000.00,BELUM BAYAR
PRB,BYP/06/26/00727,19B005,2026-06-12,71200000.00,.00,.00,.00,71200000.00,BELUM BAYAR
PRB,BYP/06/26/00788,19B005,2026-06-13,70000000.00,.00,.00,.00,70000000.00,BELUM BAYAR
PRB,BYP/06/26/00773,19B005,2026-06-13,70450000.00,.00,.00,.00,70450000.00,BELUM BAYAR
PRB,BYP/06/26/00767,19B005,2026-06-13,71200000.00,.00,.00,.00,71200000.00,BELUM BAYAR
PSR,BYP/11/25/01636,19B005,2025-11-08,64000000.00,.00,.00,.00,64000000.00,BELUM BAYAR
PSR,BYP/11/25/01635,19B005,2025-11-29,65050000.00,.00,.00,.00,65050000.00,BELUM BAYAR
PSR,BYP/06/26/00663,19B005,2026-06-11,71200000.00,.00,.00,.00,71200000.00,BELUM BAYAR
PSR,BYP/06/26/00665,19B005,2026-06-11,70000000.00,.00,.00,.00,70000000.00,BELUM BAYAR
PSR,BYP/06/26/00662,19B005,2026-06-11,71200000.00,.00,.00,.00,71200000.00,BELUM BAYAR
PSR,BYP/06/26/00664,19B005,2026-06-11,70862500.00,.00,.00,.00,70862500.00,BELUM BAYAR
PSR,BYP/06/26/00719,19B005,2026-06-12,70000000.00,.00,.00,.00,70000000.00,BELUM BAYAR
PSR,BYP/06/26/00721,19B005,2026-06-12,70000000.00,.00,.00,.00,70000000.00,BELUM BAYAR
PSR,BYP/06/26/00720,19B005,2026-06-12,70000000.00,.00,.00,.00,70000000.00,BELUM BAYAR
PSR,BYP/06/26/00723,19B005,2026-06-12,71325000.00,.00,.00,.00,71325000.00,BELUM BAYAR
PSR,BYP/06/26/00724,19B005,2026-06-12,70000000.00,.00,.00,.00,70000000.00,BELUM BAYAR
PSR,BYP/06/26/00722,19B005,2026-06-12,71312500.00,.00,.00,.00,71312500.00,BELUM BAYAR
PSR,BYP/06/26/00768,19B005,2026-06-13,70937500.00,.00,.00,.00,70937500.00,BELUM BAYAR
SLM,BYP/06/26/00577,19B005,2026-06-10,71200000.00,.00,.00,.00,71200000.00,BELUM BAYAR
SLM,BYP/06/26/00731,19B005,2026-06-12,71200000.00,.00,.00,.00,71200000.00,BELUM BAYAR
TAG,BYP/11/25/01638,19B005,2025-11-29,64825000.00,.00,.00,.00,64825000.00,BELUM BAYAR
TAG,BYP/06/26/00637,19B005,2026-06-11,71200000.00,.00,.00,.00,71200000.00,BELUM BAYAR
TAG,BYP/06/26/00638,19B005,2026-06-11,70000000.00,.00,.00,.00,70000000.00,BELUM BAYAR
TAG,BYP/06/26/00639,19B005,2026-06-11,71275000.00,.00,.00,.00,71275000.00,BELUM BAYAR
TAG,BYP/06/26/00715,19B005,2026-06-12,71200000.00,.00,.00,.00,71200000.00,BELUM BAYAR
TAG,BYP/06/26/00713,19B005,2026-06-12,71262500.00,.00,.00,.00,71262500.00,BELUM BAYAR
TAG,BYP/06/26/00714,19B005,2026-06-12,70000000.00,.00,.00,.00,70000000.00,BELUM BAYAR
TAG,BYP/06/26/00716,19B005,2026-06-12,70000000.00,.00,.00,.00,70000000.00,BELUM BAYAR
TAG,BYP/06/26/00789,19B005,2026-06-13,70450000.00,.00,.00,.00,70450000.00,BELUM BAYAR
TAG,BYP/06/26/00769,19B005,2026-06-13,70000000.00,.00,.00,.00,70000000.00,BELUM BAYAR
TAG,BYP/06/26/00790,19B005,2026-06-13,70450000.00,.00,.00,.00,70450000.00,BELUM BAYAR
TAG,BYP/06/26/00791,19B005,2026-06-13,70450000.00,.00,.00,.00,70450000.00,BELUM BAYAR
TAG,BYP/06/26/00794,19B005,2026-06-13,70862500.00,.00,.00,.00,70862500.00,BELUM BAYAR
TAG,BYP/06/26/00795,19B005,2026-06-13,70925000.00,.00,.00,.00,70925000.00,BELUM BAYAR
